data,descricao,valor,tipo,categoria
2026-01-03,Supermercado Pão de Açúcar,412.80,debito,mercado
2026-01-05,iFood - Pizza,67.90,debito,restaurante
2026-01-07,Uber - Corrida,32.50,debito,transporte
2026-01-08,Farmácia Drogasil,152.40,debito,saude
2026-01-09,Netflix,39.90,debito,assinaturas
2026-01-10,Spotify,21.90,debito,assinaturas
2026-01-11,Academia Smart Fit,99.90,debito,saude
2026-01-13,Posto Ipiranga - Gasolina,238.00,debito,transporte
2026-01-14,Conta de Luz ENEL,274.50,debito,moradia
2026-01-15,Receita Janeiro - 1ª Parcela,20000.00,receita,outros_receita
2026-01-15,Internet Vivo Fibra,110.00,debito,moradia
2026-01-16,Restaurante Outback,168.40,debito,restaurante
2026-01-17,Supermercado Extra,328.60,debito,mercado
2026-01-19,Padaria São Luís,42.50,debito,alimentacao
2026-01-20,Convênio Unimed,350.00,debito,saude
2026-01-21,Shopee - Eletrônicos,459.90,debito,outros_despesa
2026-01-22,iFood - Hambúrguer,78.50,debito,restaurante
2026-01-24,99Pop - Corrida,41.20,debito,transporte
2026-01-25,Renner - Roupas,289.90,debito,vestuario
2026-01-27,Cinema Cinemark,84.00,debito,lazer
2026-01-29,Água SABESP,98.70,debito,moradia
2026-01-31,Receita Janeiro - 2ª Parcela,20000.00,receita,outros_receita
2026-02-02,Supermercado Pão de Açúcar,398.20,debito,mercado
2026-02-04,iFood - Sushi,94.50,debito,restaurante
2026-02-05,Uber - Corrida,29.80,debito,transporte
2026-02-06,Farmácia Ultrafarma,187.60,debito,saude
2026-02-07,Amazon Prime Video,19.90,debito,assinaturas
2026-02-08,Spotify,21.90,debito,assinaturas
2026-02-09,Academia Smart Fit,99.90,debito,saude
2026-02-10,Posto Shell - Gasolina,251.00,debito,transporte
2026-02-11,Conta de Luz ENEL,242.80,debito,moradia
2026-02-12,Internet Claro Fibra,110.00,debito,moradia
2026-02-14,Restaurante Varanda Grill,215.60,debito,restaurante
2026-02-15,Receita Fevereiro - 1ª Parcela,20000.00,receita,outros_receita
2026-02-16,Supermercado Carrefour,356.40,debito,mercado
2026-02-18,Padaria do Bairro,35.80,debito,alimentacao
2026-02-19,Convênio Unimed,350.00,debito,saude
2026-02-20,Amazon - Livros,134.90,debito,educacao
2026-02-21,iFood - Pizza,71.40,debito,restaurante
2026-02-22,99Pop - Corrida,38.70,debito,transporte
2026-02-24,Zara - Roupas,374.90,debito,vestuario
2026-02-25,Ingresso Show,48.00,debito,lazer
2026-02-26,Gás GLP Ultragaz,125.00,debito,moradia
2026-02-28,Receita Fevereiro - 2ª Parcela,20000.00,receita,outros_receita
2026-03-02,Supermercado Mundo Verde,276.40,debito,mercado
2026-03-04,iFood - Mexicano,82.90,debito,restaurante
2026-03-05,Uber - Corrida,45.30,debito,transporte
2026-03-07,Farmácia Drogaria SP,220.50,debito,saude
2026-03-09,Netflix,39.90,debito,assinaturas
2026-03-09,Spotify,21.90,debito,assinaturas
2026-03-10,Academia Smart Fit,99.90,debito,saude
2026-03-11,Posto Ipiranga - Gasolina,264.00,debito,transporte
2026-03-13,Conta de Luz ENEL,312.40,debito,moradia
2026-03-14,Internet Vivo Fibra,110.00,debito,moradia
2026-03-15,Receita Março - 1ª Parcela,20000.00,receita,outros_receita
2026-03-16,Restaurante Coco Bambu,198.70,debito,restaurante
2026-03-17,Supermercado St Marche,445.80,debito,mercado
2026-03-18,Café Suplicy,54.30,debito,alimentacao
2026-03-19,Convênio Unimed,350.00,debito,saude
2026-03-20,Udemy - Curso Online,167.90,debito,educacao
2026-03-21,iFood - Japonês,88.60,debito,restaurante
2026-03-23,99Pop - Corrida,52.40,debito,transporte
2026-03-24,Centauro - Tênis,349.90,debito,vestuario
2026-03-26,Show Teatro Municipal,120.00,debito,lazer
2026-03-28,Água SABESP,112.80,debito,moradia
2026-03-31,Receita Março - 2ª Parcela,20000.00,receita,outros_receita
2026-04-01,Supermercado Pão de Açúcar,423.50,debito,mercado
2026-04-03,iFood - Hambúrguer,73.40,debito,restaurante
2026-04-04,Uber - Corrida,38.90,debito,transporte
2026-04-05,Farmácia Pacheco,165.30,debito,saude
2026-04-06,Disney+,43.90,debito,assinaturas
2026-04-07,Spotify,21.90,debito,assinaturas
2026-04-08,Academia Smart Fit,99.90,debito,saude
2026-04-09,Posto BR - Gasolina,278.00,debito,transporte
2026-04-10,Conta de Luz ENEL,298.60,debito,moradia
2026-04-11,Internet Vivo Fibra,110.00,debito,moradia
2026-04-13,Restaurante Madero,172.80,debito,restaurante
2026-04-14,Supermercado Mercadão,381.20,debito,mercado
2026-04-15,Receita Abril - 1ª Parcela,20000.00,receita,outros_receita
2026-04-15,Café + Salgado Padaria,47.60,debito,alimentacao
2026-04-16,Convênio Unimed,350.00,debito,saude
2026-04-18,Apple App Store,89.90,debito,assinaturas
2026-04-20,iFood - Árabe,92.30,debito,restaurante
